dataset,model,status,total_rows_used,training_rows,validation_rows,testing_rows,feature_count_before_encoding,accuracy,balanced_accuracy,precision,recall,f1_score,matthews_correlation_coefficient,roc_auc,training_seconds,inference_seconds,inference_ms_per_sample,result_directory,remarks,_source_file,_model_identifier_columns,_metric_columns_detected
CSE-CIC-IDS2018,LightGBM,PASS,1000000,699999,100000,200001,71,0.9848200758996204,0.9719267203888148,0.9446798571952888,0.9535886295510424,0.9491133384734002,0.9402073806317968,0.9974952106910602,10.577214,0.849002,0.00424499,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\CSE-CIC-IDS2018\LightGBM,Binary classification using a leakage-safe preprocessing pipeline.,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\Reports\Baseline_Model_Ranking.csv,model,"accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,inference_seconds,inference_ms_per_sample"
CSE-CIC-IDS2018,XGBoost,PASS,1000000,699999,100000,200001,71,0.989680051599742,0.9661318675303784,0.997694109169519,0.9326395203933852,0.9640706054381506,0.9587957251918932,0.9960141000462042,11.955119,0.633402,0.003166995,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\CSE-CIC-IDS2018\XGBoost,Binary classification using a leakage-safe preprocessing pipeline.,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\Reports\Baseline_Model_Ranking.csv,model,"accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,inference_seconds,inference_ms_per_sample"
CSE-CIC-IDS2018,CatBoost,PASS,1000000,699999,100000,200001,71,0.9896250518747406,0.9656546359746596,0.9984477655042956,0.9315617527196792,0.963845765162999,0.9585824483582353,0.9952453220236231,18.266517,0.52281,0.002614035,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\CSE-CIC-IDS2018\CatBoost,Binary classification using a leakage-safe preprocessing pipeline.,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\Reports\Baseline_Model_Ranking.csv,model,"accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,inference_seconds,inference_ms_per_sample"
CSE-CIC-IDS2018,Random_Forest,PASS,1000000,699999,100000,200001,71,0.9868600656996716,0.9661584833443324,0.9737754280312314,0.9367148294095854,0.9548856691615738,0.9474434355842208,0.9869790304327318,46.664128,1.427693,0.007138428,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\CSE-CIC-IDS2018\Random_Forest,Binary classification using a leakage-safe preprocessing pipeline.,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\Reports\Baseline_Model_Ranking.csv,model,"accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,inference_seconds,inference_ms_per_sample"
CSE-CIC-IDS2018,Decision_Tree,PASS,1000000,699999,100000,200001,71,0.981280093599532,0.9651346010879353,0.932435585480484,0.9421710282577213,0.9372780272063258,0.9262939000356984,0.9666505280948284,22.876387,0.890107,0.004450511,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\CSE-CIC-IDS2018\Decision_Tree,Binary classification using a leakage-safe preprocessing pipeline.,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\Reports\Baseline_Model_Ranking.csv,model,"accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,inference_seconds,inference_ms_per_sample"
CSE-CIC-IDS2018,Decision_Tree,PASS,1000000,699999,100000,200001,71,0.981280093599532,0.9651346010879353,0.932435585480484,0.9421710282577213,0.9372780272063258,0.9262939000356984,0.9666505280948284,22.876387,0.890107,0.004450511,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\CSE-CIC-IDS2018\Decision_Tree,Binary classification using a leakage-safe preprocessing pipeline.,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\Reports\Baseline_Model_Results.csv,model,"accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,inference_seconds,inference_ms_per_sample"
CSE-CIC-IDS2018,Random_Forest,PASS,1000000,699999,100000,200001,71,0.9868600656996716,0.9661584833443324,0.9737754280312314,0.9367148294095854,0.9548856691615738,0.9474434355842208,0.9869790304327318,46.664128,1.427693,0.007138428,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\CSE-CIC-IDS2018\Random_Forest,Binary classification using a leakage-safe preprocessing pipeline.,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\Reports\Baseline_Model_Results.csv,model,"accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,inference_seconds,inference_ms_per_sample"
CSE-CIC-IDS2018,XGBoost,PASS,1000000,699999,100000,200001,71,0.989680051599742,0.9661318675303784,0.997694109169519,0.9326395203933852,0.9640706054381506,0.9587957251918932,0.9960141000462042,11.955119,0.633402,0.003166995,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\CSE-CIC-IDS2018\XGBoost,Binary classification using a leakage-safe preprocessing pipeline.,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\Reports\Baseline_Model_Results.csv,model,"accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,inference_seconds,inference_ms_per_sample"
CSE-CIC-IDS2018,LightGBM,PASS,1000000,699999,100000,200001,71,0.9848200758996204,0.9719267203888148,0.9446798571952888,0.9535886295510424,0.9491133384734002,0.9402073806317968,0.9974952106910602,10.577214,0.849002,0.00424499,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\CSE-CIC-IDS2018\LightGBM,Binary classification using a leakage-safe preprocessing pipeline.,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\Reports\Baseline_Model_Results.csv,model,"accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,inference_seconds,inference_ms_per_sample"
CSE-CIC-IDS2018,CatBoost,PASS,1000000,699999,100000,200001,71,0.9896250518747406,0.9656546359746596,0.9984477655042956,0.9315617527196792,0.963845765162999,0.9585824483582353,0.9952453220236231,18.266517,0.52281,0.002614035,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\CSE-CIC-IDS2018\CatBoost,Binary classification using a leakage-safe preprocessing pipeline.,D:\47\472\New-Papers\Digital_Forensics_Framework_Network Intrusions\Experiments\Results\Experiment_02_Baseline_Models\Experiment_01_Baseline_Classification\Reports\Baseline_Model_Results.csv,model,"accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,inference_seconds,inference_ms_per_sample"
