dataset,configuration,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_mcc,test_roc_auc,test_average_precision,threshold,weights_json
CICIDS2017,A0_Original_Feature_XGBoost,0.9990050049749752,0.999188799515478,0.9946568265682656,0.9994660654959658,0.9970556467959816,0.9964611977725476,0.9999746376820488,0.9998713179874033,0.25,{}
CICIDS2017,A1_Best_Single_View,0.9989050054749726,0.9991050138455696,0.9941282346345638,0.999406739439962,0.9967604987944322,0.9961067141609152,0.999974912034153,0.9998729627630212,0.22,"{""directional"": 1.0, ""flags_errors"": 0.0, ""temporal"": 0.0, ""transport"": 0.0, ""volume"": 0.0}"
CICIDS2017,A2_Unweighted_Multiview_Mean,0.9987300063499682,0.9987987554656468,0.9935973090994924,0.9989024679639298,0.9962428258682918,0.9954837980916889,0.999914136442909,0.9996282880159716,0.2700000000000001,"{""directional"": 0.2, ""flags_errors"": 0.2, ""temporal"": 0.2, ""transport"": 0.2, ""volume"": 0.2}"
CICIDS2017,A3_Global_View_Weights_Only,0.998920005399973,0.9991022095853256,0.9942454110842236,0.9993770764119602,0.9968046391905084,0.996159611525129,0.9999225088200312,0.9996465492090508,0.26,"{""directional"": 0.6391542756678341, ""flags_errors"": 0.07332958320475852, ""temporal"": 0.07811127546629365, ""transport"": 0.1887521402041039, ""volume"": 0.020652725457009944}"
CICIDS2017,A4_FERF_Without_Integrity,0.998920005399973,0.9991022095853256,0.9942454110842236,0.9993770764119602,0.9968046391905084,0.996159611525129,0.999918408879352,0.9996225179866656,0.26,"{""directional"": 0.6391542756678341, ""flags_errors"": 0.07332958320475852, ""temporal"": 0.07811127546629365, ""transport"": 0.1887521402041039, ""volume"": 0.020652725457009944}"
CICIDS2017,A5_FERF_Without_Quality,0.9989150054249728,0.9990992027718864,0.9942160710596984,0.9993770764119602,0.9967898933416176,0.9961419102958364,0.9999243639968092,0.9996577307330268,0.25,"{""directional"": 0.5616138522926953, ""flags_errors"": 0.045615554815006586, ""temporal"": 0.09815623110572173, ""transport"": 0.18317521067073816, ""volume"": 0.11143915111583813}"
CICIDS2017,A6_FERF_Without_Temporal,0.998920005399973,0.9991022095853256,0.9942454110842236,0.9993770764119602,0.9968046391905084,0.996159611525129,0.9999221488443834,0.9996443993666884,0.26,"{""directional"": 0.6391542756678341, ""flags_errors"": 0.07332958320475852, ""temporal"": 0.07811127546629365, ""transport"": 0.1887521402041039, ""volume"": 0.020652725457009944}"
CICIDS2017,A7_Full_FERF,0.998920005399973,0.9991022095853256,0.9942454110842236,0.9993770764119602,0.9968046391905084,0.996159611525129,0.999919458124526,0.9996285713247096,0.26,"{""directional"": 0.6391542756678341, ""flags_errors"": 0.07332958320475852, ""temporal"": 0.07811127546629365, ""transport"": 0.1887521402041039, ""volume"": 0.020652725457009944}"
CSE-CIC-IDS2018,A0_Original_Feature_XGBoost,0.9869050654746726,0.9714824429039102,0.9617588865388552,0.9495470007746456,0.9556139310227948,0.9479605042668204,0.9960141000462042,0.9860210743306452,0.2,{}
CSE-CIC-IDS2018,A1_Best_Single_View,0.9873850630746848,0.9707631725200664,0.9672215725390384,0.9471220235088074,0.9570662809495448,0.949745480106836,0.9953540272668664,0.9844229377488984,0.2,"{""directional"": 1.0, ""flags_errors"": 0.0, ""general"": 0.0, ""temporal"": 0.0, ""transport"": 0.0, ""volume"": 0.0}"
CSE-CIC-IDS2018,A2_Unweighted_Multiview_Mean,0.9815900920495396,0.9662621143037806,0.932402327514547,0.944461284564346,0.9383930662918716,0.9275981549349868,0.9806334598724326,0.9669356107677444,0.25,"{""directional"": 0.16666666666666666, ""flags_errors"": 0.16666666666666666, ""general"": 0.16666666666666666, ""temporal"": 0.16666666666666666, ""transport"": 0.16666666666666666, ""volume"": 0.16666666666666666}"
CSE-CIC-IDS2018,A3_Global_View_Weights_Only,0.9873850630746848,0.9707631725200664,0.9672215725390384,0.9471220235088074,0.9570662809495448,0.949745480106836,0.9953540272668664,0.9844229377488984,0.2,"{""directional"": 1.0, ""flags_errors"": 0.0, ""general"": 0.0, ""temporal"": 0.0, ""transport"": 0.0, ""volume"": 0.0}"
CSE-CIC-IDS2018,A4_FERF_Without_Integrity,0.9873850630746848,0.9707631725200664,0.9672215725390384,0.9471220235088074,0.9570662809495448,0.949745480106836,0.995354027069108,0.9844229377488984,0.2,"{""directional"": 1.0, ""flags_errors"": 0.0, ""general"": 0.0, ""temporal"": 0.0, ""transport"": 0.0, ""volume"": 0.0}"
CSE-CIC-IDS2018,A5_FERF_Without_Quality,0.9873850630746848,0.9707631725200664,0.9672215725390384,0.9471220235088074,0.9570662809495448,0.949745480106836,0.9953540272668664,0.9844229377488984,0.2,"{""directional"": 1.0, ""flags_errors"": 0.0, ""general"": 0.0, ""temporal"": 0.0, ""transport"": 0.0, ""volume"": 0.0}"
CSE-CIC-IDS2018,A6_FERF_Without_Temporal,0.9873850630746848,0.9707631725200664,0.9672215725390384,0.9471220235088074,0.9570662809495448,0.949745480106836,0.9953540272668664,0.9844229377488984,0.2,"{""directional"": 1.0, ""flags_errors"": 0.0, ""general"": 0.0, ""temporal"": 0.0, ""transport"": 0.0, ""volume"": 0.0}"
CSE-CIC-IDS2018,A7_Full_FERF,0.9873850630746848,0.9707631725200664,0.9672215725390384,0.9471220235088074,0.9570662809495448,0.949745480106836,0.9953540272668664,0.9844229377487156,0.2,"{""directional"": 1.0, ""flags_errors"": 0.0, ""general"": 0.0, ""temporal"": 0.0, ""transport"": 0.0, ""volume"": 0.0}"
